Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:06:53.107  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |10YQR01FT002XQ02|10YQR02FT002XQ02|10YQR03FT002XQ02|10YQR04FT002XQ02|10YQR05FT002XQ02|10YQR06FT002XQ02|10YQR07FT002XQ02|10YQR08FT002XQ02|10YQR09FT002XQ02|10YQR10FT002XQ02|10YQR11FT002XQ02|10YQR12FT002XQ02|10YQR13FT002XQ02|10YQR14FT002XQ02|10YQR15FT002XQ02|10YQR16FT002XQ02|10YQR17FT002XQ02|10YQR18FT002XQ02|10YQR19FT002XQ02|10YQR20FT002XQ02|10YQR21FT002XQ02|10YQR22FT002XQ02|10YQR23FT002XQ02|10YQR24FT002XQ02|10YQR25FT002XQ02|10YQR26FT002XQ02|10YQR27FT002XQ02|10YQR28FT002XQ02|10YQR29FT002XQ02|10YQR30FT002XQ02|10YQR31FT002XQ02|10YQR32FT002XQ02|10YQR33FT002XQ02|10YQR34FT002XQ02|10YQR35FT002XQ02|10YQR36FT002XQ02|10YQR37FT002XQ02|10YQR38FT002XQ02|10YQR39FT002XQ02|10YQR40FT002XQ02|10YQR41FT002XQ02|10YQR42FT002XQ02|10YQR43FT002XQ02|10YQR44FT002XQ02|10YQR45FT002XQ02|10YQR46FT002XQ02|10YQR51FT002XQ02|10YQR52FT002XQ02|10YQR53FT002XQ02|10YQR54FT002XQ02|
08.07.2013 08:05:00.000 |27.477          |30.000          |31.657          |31.478          |32.486          |32.638          |29.658          |28.872          |26.046          |29.124          |32.741          |31.165          |33.040          |29.589          |34.824          |28.380          |32.030          |31.084          |33.643          |29.348          |28.909          |31.628          |27.773          |26.633          |31.904          |32.494          |25.945          |31.691          |30.326          |32.503          |30.475          |30.727          |28.168          |29.273          |31.716          |23.698          |38.019          |29.978          |27.429          |28.308          |34.529          |29.192          |32.398          |30.189          |29.893          |27.221          |30.615          |32.370          |29.567          |22.313          |
08.07.2013 08:05:10.000 |27.598          |30.122          |31.461          |31.592          |32.442          |32.638          |29.759          |28.856          |26.197          |29.389          |32.873          |31.257          |33.333          |29.661          |34.938          |29.110          |32.100          |30.956          |33.796          |29.125          |29.041          |31.759          |27.671          |26.590          |31.904          |32.494          |26.038          |31.817          |30.326          |32.865          |30.597          |30.709          |28.294          |29.397          |31.713          |23.631          |37.057          |30.046          |27.287          |28.206          |34.565          |29.157          |32.897          |30.323          |30.158          |27.205          |30.728          |32.411          |29.692          |22.242          |
08.07.2013 08:05:20.000 |27.595          |29.991          |31.261          |31.492          |32.443          |32.559          |29.749          |28.932          |26.216          |28.412          |32.742          |31.257          |33.169          |29.371          |34.909          |28.809          |31.947          |31.091          |33.723          |29.237          |29.041          |31.658          |27.720          |26.578          |31.904          |32.560          |25.964          |31.722          |30.277          |32.399          |30.708          |30.620          |28.294          |29.264          |31.529          |23.522          |37.958          |29.983          |27.311          |28.338          |34.294          |29.016          |32.761          |30.158          |30.097          |27.229          |30.751          |32.345          |29.675          |22.260          |
08.07.2013 08:05:30.000 |27.800          |29.954          |31.298          |31.587          |32.414          |32.708          |29.515          |28.890          |26.115          |29.141          |32.815          |31.307          |33.166          |29.675          |34.642          |29.000          |31.839          |30.584          |33.171          |29.589          |28.952          |31.758          |27.470          |26.453          |31.785          |32.403          |25.811          |31.470          |30.399          |32.635          |30.382          |30.603          |28.327          |29.118          |31.652          |23.602          |37.089          |30.021          |27.415          |27.979          |34.436          |29.207          |32.494          |30.148          |30.027          |26.980          |30.631          |32.210          |29.582          |21.928          |
08.07.2013 08:05:40.000 |27.728          |29.954          |31.250          |31.334          |32.340          |32.579          |29.548          |28.898          |26.100          |29.264          |32.815          |31.188          |33.208          |29.421          |34.956          |28.322          |32.181          |30.869          |33.528          |29.173          |28.932          |31.905          |27.798          |26.429          |31.785          |32.435          |25.737          |31.627          |30.203          |32.820          |30.615          |30.607          |28.211          |29.208          |31.494          |23.497          |38.014          |29.997          |27.367          |28.093          |34.440          |29.220          |32.650          |30.148          |30.061          |27.277          |30.692          |32.366          |29.447          |22.336          |
08.07.2013 08:05:50.000 |27.675          |29.927          |31.248          |31.224          |32.258          |32.443          |29.497          |28.903          |26.162          |29.270          |32.765          |31.179          |32.957          |29.371          |34.832          |28.877          |31.830          |30.661          |33.736          |29.294          |28.915          |31.631          |27.459          |26.436          |31.686          |32.501          |25.744          |31.691          |30.157          |32.655          |30.403          |30.559          |28.198          |29.191          |31.527          |23.618          |36.936          |29.897          |27.257          |28.026          |34.332          |28.969          |31.971          |30.133          |29.557          |27.138          |30.701          |32.230          |29.488          |22.317          |
08.07.2013 08:06:00.000 |27.878          |29.946          |31.324          |31.317          |32.373          |32.534          |29.433          |28.905          |26.141          |28.784          |32.777          |31.179          |33.359          |29.371          |34.770          |28.277          |32.145          |31.005          |33.531          |29.237          |28.830          |31.698          |27.662          |26.436          |31.782          |32.357          |25.806          |31.615          |30.306          |32.742          |30.360          |30.534          |28.175          |29.193          |31.699          |23.583          |36.738          |29.863          |27.207          |28.143          |34.362          |29.199          |31.803          |30.055          |29.932          |27.166          |30.708          |32.399          |29.509          |22.232          |
08.07.2013 08:06:10.000 |27.490          |29.845          |31.298          |31.272          |32.413          |32.534          |29.565          |28.829          |26.060          |29.223          |32.761          |31.179          |33.197          |29.500          |34.875          |28.404          |31.983          |30.588          |33.265          |29.192          |28.830          |31.722          |27.817          |26.370          |31.782          |32.516          |25.846          |31.446          |30.287          |32.668          |30.778          |30.543          |28.175          |29.150          |31.625          |23.628          |36.722          |29.966          |27.363          |28.155          |34.362          |29.211          |32.812          |30.036          |29.910          |27.325          |30.577          |32.123          |29.615          |22.191          |
08.07.2013 08:06:20.000 |27.836          |29.963          |31.252          |31.134          |32.477          |32.493          |29.525          |28.810          |26.094          |29.057          |32.761          |31.113          |33.063          |29.388          |34.965          |28.838          |31.875          |30.505          |33.640          |29.140          |28.991          |31.475          |27.624          |26.478          |31.763          |32.462          |25.992          |31.622          |30.093          |32.416          |30.527          |30.611          |28.215          |29.243          |31.656          |23.554          |37.785          |30.000          |27.365          |27.986          |34.468          |28.956          |32.359          |30.138          |29.910          |27.160          |30.677          |32.271          |29.475          |22.333          |
08.07.2013 08:06:30.000 |27.318          |29.850          |31.126          |31.160          |32.301          |32.604          |29.525          |28.980          |26.093          |29.085          |32.668          |31.113          |33.028          |29.355          |34.789          |28.403          |31.900          |30.990          |33.438          |29.278          |28.958          |31.817          |27.536          |26.478          |31.672          |32.462          |25.621          |31.703          |29.976          |32.468          |30.606          |30.576          |28.192          |29.091          |31.573          |23.518          |36.781          |29.831          |27.196          |28.017          |34.350          |29.039          |31.986          |30.011          |30.031          |27.268          |30.637          |32.154          |29.417          |22.129          |
